Item Name,Item Description,Story
Dragon Charm,"A blessed charm. Cures poison and greatly restores HP. A rare, ancient charm that is said to be endowed with the power of dragons. It is not clear whether it is a man-made creation, or of some other nature.","The amulet is a beautiful, ancient charm with the power to cure poison and restore health. It is unknown where it came from, or who created it, but it is said to be the work of dragons. Whoever possesses this amulet is sure to be safe from harm."
Dragon Chime,"A sacred chime shaped as a dragon. A catalyst for miracles and hexes. This chime sat long in the Dark Chasm, but still one senses a sublime purity. Only those with the deepest faith can wield this chime, but they will be rewarded with greatly amplified spells.","The Dark Chasm is a deep and dark place, and it's home to a sacred chime that can amplify the power of miracles and hexes. Only those with the deepest faith can touch it, and they will be rewarded with greatly amplified spells. However, the chime is also a source of great danger, as anyone who tries to wield it will be drawn into the Dark Chasm and never seen again."
Dragon Communion Seal,"Formless drakeblood seal with a dragon communion crest. Enhances Dragon Communion incantations. The sacrificial devouring of the heart gives power. Indeed, Dragon Communion is too primal in nature for the term incantation to be appropriate. This seal scales incantations with one's arcane attribute.","The Formless drakeblood seal with a dragon communion crest enhances Dragon Communion incantations. Indeed, Dragon Communion is too primal in nature for the term incantation to be appropriate. This seal scales incantations with one's arcane attribute, granting them power beyond what is possible with traditional methods."
Dragon Crest Shield,Shield of a nameless knight likely a high-ranked knight of Astora. One of the enchanted blue shields. The dragon crest shield greatly reduces fire damage.,"The Shield of a nameless knight likely belonged to a high-ranked knight of Astora. The shield was one of the enchanted blue shields, and it greatly reduced fire damage."
Dragon Eye,"An art of the transcendent apostles who pray to the ancient dragons. To be alive is to be vulnerable, and the fiery Gods are no exception. The apostles seek another plane of existence, which transcends life","The art of the transcendent apostles is a beautiful and powerful work. It is a testament to the power of prayer and the faith of the saints. The apostles believe that by praying to the ancient dragons, they can find a new plane of existence that is beyond life. This art is a symbol of their faith and their hope."
Dragon Eye,"An art of the transcendent apostles who pray to the ancient dragons. To be alive is to be vulnerable, and the fiery Gods are no exception. The apostles seek another plane of existence, which transcends life","The art of the transcendent apostles is a beautiful and powerful work. It is a testament to the power of prayer and the faith of the saints. The apostles believe that by praying to the ancient dragons, they can find a new plane of existence that is beyond life. This art is a symbol of their faith and their hope."
Dragon Greatclaw,"Weapon said to have been whittled from the claw of a great, ancient dragon, wielded by grotesque Tree Sentinels who yet serve the Erdtree. The claw is enwreathed with lightning, and tears through the dragons' feeble descendants with ease.","The weapon is a greatsword that was whittled from the claw of a great, ancient dragon. The Tree Sentinels who wield it are grotesque, but they still serve the Erdtree."
Dragon Greatsword,This sword one of the rare dragon weapons came from the tail of the stone dragon of Ash Lake descendant of the ancient dragons. Its great mystical power will be unleashed when wielded with two hands,"The sword was said to have come from the tail of the stone dragon of Ash Lake, a descendant of the ancient dragons. The sword's great mystical power would be unleashed when wielded with two hands."
Dragon Halberd,"Halberd shaped like a dragon, enwreathed with both ice and lightning. Alas, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin.","The Halberd is a legendary weapon that is said to have been forged from the scales of a dragon. The weapon is encrusted with both ice and lightning, and is said to be able to kill any dragon. Unfortunately, the Dragonkin Soldiers never attained immortality, and perished as decrepit, pale imitations of their skyborn kin."
Dragon Head Stone,"Stone imbued with the power of dragons. Rite of apostles of the ancient dragons. Gain head of dragon. Emit dragon breath. The dragon apostles seek ascendence of life itself, attainable by transformation into an ancient dragon.This rite is only one step, but it cannot be reversed until death","The stone was imbued with the power of dragons. It was a rite of apostles of the ancient dragons. The apostles sought to gain ascendence of life itself, by transforming into an ancient dragon. The stone could not be reversed until death."
